source_transaction_id,source_customer_id,transaction_date,amount,currency,description,status,source_system
TXN-f3ceef7361,ERP-aecf71a648,2026-09-23,288.05,KES,Annual Subscription,completed,ERP
TXN-507db24bb7,ERP-95acac1e4d,,,USD,Screen Protector,completed,ERP
TXN-1f879b0e8a,ERP-57dd0cf90f,2026-09-23,190.41,KES,Wireless Earbuds,completed,ERP
TXN-be0aa81847,ERP-d18dd115f0,2026-09-23,603.32,KES,Laptop Stand,pending,ERP
TXN-911265fff5,ERP-7fc842d15e,2026-09-23,219.07,KES,Annual Subscription,refunded,ERP
TXN-f685c546c3,ERP-0e52bbbbd5,2026-09-23,141.86,KES,Bluetooth Speaker,completed,ERP
TXN-29fb602aa1,ERP-ef75f4faa5,2026-09-23,520.71,KES,Laptop Stand,completed,ERP
TXN-2e4e579945,ERP-e51cc3d23d,2026-09-23,,USD,Keyboard Cover,completed,ERP
TXN-7f78ab3418,ERP-a21eaf7699,2026-09-23,596.55,EUR,Screen Protector,completed,ERP
TXN-e763614074,ERP-4648a7fbe1,2026-09-23,461.41,KES,Express Shipping,refunded,ERP
TXN-fb498efb71,ERP-91f2e0f5ec,2026-09-23,539.27,EUR,Screen Protector,completed,ERP
TXN-00ad7d9905,ERP-53de999693,2026-09-23,38.23,KES,Monthly Plan,completed,ERP
TXN-a50fa2ebd4,ERP-2eee60958c,2026-09-23,123.25,KES,Cable Organizer,completed,ERP
TXN-6da3552568,ERP-d235b00fb5,2026-09-23,821.76,KES,Power Bank 20000mAh,completed,ERP
TXN-4a9bf452c9,ERP-b3eae34b6d,2026-09-23,130.87,USD,Wireless Earbuds,refunded,ERP
TXN-954aa83345,ERP-304db3fe27,2026-09-23,17.14,USD,Express Shipping,refunded,ERP
TXN-a343238848,ERP-12113c387d,2026-09-23,507.76,USD,USB-C Hub,completed,ERP
TXN-d5cf6a7234,ERP-fa0b225bd8,2026-09-23,466.27,KES,USB-C Hub,disputed,ERP
TXN-8a744c7469,ERP-28259da44d,2026-09-23,472.63,KES,Wireless Earbuds,refunded,ERP
TXN-aad013ba9b,ERP-abd3cf8203,2026-09-23,10.37,KES,Annual Subscription,completed,ERP
TXN-b892cce4a1,ERP-9a6034c112,2026-09-23,545.65,KES,Laptop Stand,completed,ERP
TXN-03c188f31c,ERP-1803805983,2026-09-23,298.94,KES,Phone Case,completed,ERP
TXN-1a38e87986,ERP-aa5569a7b8,2026-09-23,655.93,USD,USB-C Hub,completed,ERP
TXN-9e43b541e1,ERP-500c94d47f,2026-09-23,50.65,KES,Smart Watch Band,completed,ERP
TXN-eb00434fb7,ERP-94d8b906c1,2026-09-23,138.55,KES,Phone Case,completed,ERP
TXN-3d3b046c12,ERP-d80555b578,2026-09-23,199.4,KES,USB-C Hub,completed,ERP
TXN-e665e3f543,ERP-95a35fbfbb,2026-09-23,127.48,EUR,Bluetooth Speaker,completed,ERP
TXN-c6d5f66174,ERP-e51cc3d23d,2026-09-23,589.92,KES,Express Shipping,completed,ERP
TXN-b06e7ea8d8,ERP-5f5b913e98,2026-09-23,493.51,USD,Bluetooth Speaker,completed,ERP
TXN-593ebe6497,ERP-48fa610c27,2026-09-23,627.07,KES,Cable Organizer,completed,ERP
TXN-ad02dcb360,ERP-500c94d47f,2026-09-23,38.85,KES,Wireless Earbuds,completed,ERP
