true_id,source,source_customer_id,entity_type,note,source_transaction_id
cust_0145,CRM,CRM-482d688488,customer,,
cust_0037,CRM,CRM-1e465fe959,customer,,
cust_0078,CRM,CRM-84afddcdd6,customer,,
cust_0071,CRM,CRM-5c67a4b87d,customer,,
cust_0070,CRM,CRM-105172ee53,customer,,
cust_0186,CRM,CRM-b79d47ce4d,customer,,
cust_0033,CRM,CRM-c744de394b,customer,,
cust_0115,CRM,CRM-2d31fd99ba,customer,,
cust_0018,CRM,CRM-f980df74f6,customer,,
cust_0175,CRM,CRM-3a956eb3fd,customer,,
cust_0089,CRM,CRM-ea324b406d,customer,,
cust_0047,CRM,CRM-d461a22d61,customer,,
cust_0032,CRM,CRM-37471685b5,customer,,
cust_0076,CRM,CRM-d98e6d7978,customer,,
cust_0094,CRM,CRM-e7a5a7d5f1,customer,,
cust_0126,CRM,CRM-5b2514bff1,customer,,
cust_0158,CRM,CRM-2c7ebb1241,customer,,
cust_0108,CRM,CRM-0673191691,customer,,
cust_0147,CRM,CRM-4003722b4b,customer,,
cust_0130,CRM,CRM-3d0ba4af9a,customer,,
cust_0129,CRM,CRM-756c2045d5,customer,,
cust_0160,CRM,CRM-3adcde7118,customer,,
cust_0152,CRM,CRM-66564273d6,customer,,
cust_0148,CRM,CRM-f03765e5f8,customer,,
cust_0044,CRM,CRM-6c70a4e122,customer,,
cust_0069,CRM,CRM-2de7fe048a,customer,,
cust_0191,CRM,CRM-fc82e2ce27,customer,,
cust_0029,CRM,CRM-b3e856986d,customer,,
cust_0074,CRM,CRM-1856343c90,customer,,
cust_0144,CRM,CRM-423e17f3d2,customer,,
cust_0168,CRM,CRM-bf950c20cf,customer,,
cust_0010,CRM,CRM-c2d36619af,customer,,
cust_0155,CRM,CRM-6c1df5e510,customer,,
cust_0133,CRM,CRM-5680b04ed2,customer,,
cust_0167,CRM,CRM-c2637e74d1,customer,,
cust_0040,CRM,CRM-6f3e66ebb4,customer,,
cust_0134,CRM,CRM-d7da27fd6e,customer,,
cust_0113,CRM,CRM-171824a501,customer,,
cust_0165,CRM,CRM-211929ecf6,customer,,
cust_0157,CRM,CRM-6f67d9427a,customer,,
cust_0056,CRM,CRM-b84c620c2e,customer,,
cust_0023,CRM,CRM-fda4b7012a,customer,,
cust_0110,CRM,CRM-0e59ab1ea4,customer,,
cust_0054,CRM,CRM-33bedd58b6,customer,,
cust_0043,CRM,CRM-ddbdf36a82,customer,,
cust_0150,CRM,CRM-a54b068a7e,customer,,
cust_0164,CRM,CRM-42248b79b2,customer,,
cust_0139,CRM,CRM-b41bd01695,customer,,
cust_0022,CRM,CRM-e03e4e5632,customer,,
cust_0146,CRM,CRM-323575603c,customer,,
cust_0125,CRM,CRM-9be9d8fcf8,customer,,
cust_0193,CRM,CRM-6e9acb500f,customer,,
cust_0086,CRM,CRM-1803fbb6a6,customer,,
cust_0162,CRM,CRM-9ac41bb08e,customer,,
cust_0096,CRM,CRM-c1ce8c2bf1,customer,,
cust_0190,CRM,CRM-4aa936fac2,customer,,
cust_0118,CRM,CRM-eb025c424b,customer,,
cust_0026,CRM,CRM-5409693ad8,customer,,
cust_0084,CRM,CRM-66dc341066,customer,,
cust_0009,CRM,CRM-108fc061f7,customer,,
cust_0090,CRM,CRM-ffa4d82873,customer,,
cust_0199,CRM,CRM-8ebc748cbb,customer,,
cust_0180,CRM,CRM-edc734389a,customer,,
cust_0004,CRM,CRM-0ca7353094,customer,,
cust_0007,CRM,CRM-c1eb78a032,customer,,
cust_0095,CRM,CRM-a615062591,customer,,
cust_0066,CRM,CRM-4b634f8cce,customer,,
cust_0179,CRM,CRM-68c94b0846,customer,,
cust_0098,CRM,CRM-740c5ca0d2,customer,,
cust_0067,CRM,CRM-3465b34afa,customer,,
cust_0063,CRM,CRM-404c90791a,customer,,
cust_0198,CRM,CRM-dd63e58c2a,customer,,
cust_0154,CRM,CRM-006c034af8,customer,,
cust_0045,CRM,CRM-8615e6e4e0,customer,,
cust_0014,CRM,CRM-7c50c3fb0f,customer,,
cust_0181,CRM,CRM-631f589433,customer,,
cust_0189,CRM,CRM-7ff6f4fa3c,customer,,
cust_0016,CRM,CRM-93bd8ada60,customer,,
cust_0099,CRM,CRM-36d6ee7922,customer,,
cust_0114,CRM,CRM-eb09901991,customer,,
cust_0012,CRM,CRM-72f7809dcd,customer,,
cust_0137,CRM,CRM-828285bb44,customer,,
cust_0197,CRM,CRM-746a05a53a,customer,,
cust_0093,CRM,CRM-dab02b2f3f,customer,,
cust_0083,CRM,CRM-23beeaa751,customer,,
cust_0107,CRM,CRM-e17558321f,customer,,
cust_0143,CRM,CRM-56934bdedc,customer,,
cust_0088,CRM,CRM-678fb62315,customer,,
cust_0195,CRM,CRM-0b15b381b8,customer,,
cust_0027,CRM,CRM-5bc86e8837,customer,,
cust_0111,CRM,CRM-cfc2fd48ba,customer,,
cust_0163,CRM,CRM-a519a6b64c,customer,,
cust_0161,CRM,CRM-114399788c,customer,,
cust_0132,CRM,CRM-aa2d6bcf21,customer,,
cust_0048,CRM,CRM-925b237687,customer,,
cust_0140,CRM,CRM-46f3e5c987,customer,,
cust_0038,CRM,CRM-911d3191ce,customer,,
cust_0061,CRM,CRM-7a2cf40042,customer,,
cust_0128,CRM,CRM-b8759a2868,customer,,
cust_0072,CRM,CRM-191665aa29,customer,,
cust_0025,CRM,CRM-b440aa3d9f,customer,,
cust_0020,CRM,CRM-7647164643,customer,,
cust_0064,CRM,CRM-5b49a189a1,customer,,
cust_0005,CRM,CRM-f8eb6d70b8,customer,,
cust_0171,CRM,CRM-662276733d,customer,,
cust_0169,CRM,CRM-47211e0c1f,customer,,
cust_0185,CRM,CRM-418d5d8a66,customer,,
cust_0091,CRM,CRM-f4b375563f,customer,,
cust_0182,CRM,CRM-cfa8848c05,customer,,
cust_0034,CRM,CRM-33f4ef5501,customer,,
cust_0123,CRM,CRM-8711fbc0fe,customer,,
cust_0028,CRM,CRM-f57ecfd593,customer,,
cust_0178,CRM,CRM-d97bcea1a4,customer,,
cust_0085,CRM,CRM-460001154e,customer,,
cust_0131,CRM,CRM-b92d27ba1f,customer,,
cust_0008,CRM,CRM-33e1af7281,customer,,
cust_0135,CRM,CRM-d8f88ce694,customer,,
cust_0103,CRM,CRM-8895d264c5,customer,,
cust_0046,CRM,CRM-2c418e2529,customer,,
cust_0073,CRM,CRM-2031e4c15f,customer,,
cust_0021,CRM,CRM-03d4ae423d,customer,,
cust_0138,CRM,CRM-6a349efdab,customer,,
cust_0136,CRM,CRM-1d517c01f8,customer,,
cust_0194,CRM,CRM-d916a88b94,customer,,
cust_0065,CRM,CRM-cd47af8af5,customer,,
cust_0092,CRM,CRM-34a4c47510,customer,,
cust_0112,CRM,CRM-7fc7a26cc7,customer,,
cust_0042,CRM,CRM-47e4137c0a,customer,,
